id_t;neo_id;name;absoluteMagnitude;estimateDiameterMin;estimatedDiameterMax;relativeVelocity;missDistance;isHazardous
253;3626611;(2013 CS83);22.10;0.101054342;0.225964377;93099.96884;28274765.72;False
253;3760087;(2016 TK);23.30;0.058150704;0.130028927;18128.33121;32919657.95;False
253;2366746;366746 (2004 LJ);20.16;0.246919266;0.552128263;61210.8251;69977657.18;True
253;2484506;484506 (2008 ER7);20.16;0.246919266;0.552128263;85218.71814;22484536.28;True
253;3989412;(2020 CP);27.00;0.010581689;0.023661375;40595.58562;34692976;False
253;54245588;(2022 CX2);24.29;0.03685997;0.082421398;66793.14982;52913501.65;False
253;54353620;(2023 FW13);26.02;0.01661709;0.037156943;12934.68415;17624458.55;False
253;54407411;(2023 WX1);20.92;0.174002295;0.38908096;52385.1223;45557236.1;True
253;2137924;137924 (2000 BD19);17.50;0.840533402;1.879489824;95193.26163;37020160.43;False
253;2177049;177049 (2003 EE16);19.85;0.284809831;0.636854144;119878.0905;68995818.07;True
253;2265482;265482 (2005 EE);21.21;0.152249185;0.340439527;23202.63189;47320157.77;True
253;2471034;471034 (2009 TG8);19.27;0.37201031;0.831840342;13757.76453;72998496.26;False
253;2530151;530151 (2011 AW55);20.70;0.192555078;0.430566244;61797.12816;28242138.63;False
253;3662632;(2014 DD23);21.59;0.127807099;0.285785361;27319.13041;52159209.42;False
253;3770289;(2017 ED);26.30;0.014606796;0.03266179;20435.4067;6291115.657;False
253;3799247;(2018 CC1);23.50;0.053034072;0.118587791;50347.45623;11222411.24;False
253;3799643;(2018 CZ13);23.75;0.047266667;0.10569148;70966.06735;74060589.46;False
253;3883106;(2019 UD8);23.18;0.061454682;0.137416847;64735.90275;69400645.99;False
253;54317205;(2022 UE3);24.61;0.031809363;0.071127899;71683.30099;48132335.37;False
253;2143649;143649 (2003 QQ47);17.39;0.884209093;1.977151638;115468.7279;12732030.69;True
253;2318411;318411 (2005 AH14);17.11;1.00590039;2.249261651;86672.84271;61721839.05;False
253;3248972;(2004 OW10);24.61;0.031809363;0.071127899;22598.38984;3967741.282;False
253;3730580;(2015 TY237);21.58;0.12839703;0.287104486;45845.07015;49862538.16;True
253;3785774;(2017 TL4);24.37;0.035526709;0.079440136;66191.51504;54084929.43;False
253;3801963;(2018 FU);22.20;0.096506147;0.215794305;93411.33726;58282316.96;False
253;54204655;(2021 TB5);25.71;0.019167037;0.042858797;35440.14875;19900643.77;False
253;2267729;267729 (2003 FC5);18.46;0.540200494;1.207925025;83775.95339;39159765.81;True
253;2325102;325102 (2008 EY5);20.17;0.245784775;0.549591464;72739.36152;32156576.56;False
253;2382406;382406 (1996 AJ1);20.57;0.204434871;0.457130269;138686.5798;53911687.8;True
253;2488579;488579 (2002 FQ4);20.45;0.216050351;0.483103272;61836.08095;69471758.01;False
253;3092140;(1995 SB);22.30;0.092162655;0.206081961;28606.08203;42574215.07;False
253;3579748;(2011 SY120);23.27;0.058959661;0.13183781;67714.0219;19586582.51;False
253;3634714;(2013 GK69);23.80;0.046190746;0.103285648;79016.73786;67761462.24;False
253;3735392;(2015 WA1);21.80;0.116025908;0.259441818;33932.91279;24868934.86;False
253;3752777;(2016 JV5);23.30;0.058150704;0.130028927;63388.07008;48338045.37;False
253;3762462;(2016 TH94);24.58;0.032251876;0.072117386;82371.65348;73640858.89;False
253;54423943;(2024 BD7);22.02;0.104846751;0.234444462;32883.41281;11897536.54;False
253;3673918;(2014 MA6);24.39;0.035200998;0.078711824;28306.39098;74706167.76;False
253;2089958;89958 (2002 LY45);17.21;0.960627415;2.148028201;105458.1545;16651175.09;True
253;2483656;483656 (2005 ES70);23.76;0.047049496;0.105205872;57387.12829;27689165.25;False
253;3330049;(2006 HC2);21.77;0.117639989;0.263051013;90183.49447;68662794.72;True
253;3595919;(2012 BN1);25.52;0.020919677;0.04677782;49164.87063;41826438.89;False
253;54013534;(2019 NN36);19.80;0.291443905;0.651688382;70862.10721;50655122.32;False
253;54265883;(2022 FS2);28.25;0.005950521;0.013305769;23118.58411;2657231.747;False
