COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2017-069B;43002;Space Technology Research Institute (part of CASC);;;;
2018-003A;43107;Space Technology Research Institute (part of CASC);;;;
2018-003B;43108;Space Technology Research Institute (part of CASC);;;;
2018-018A;43207;Space Technology Research Institute (part of CASC);;;;
2018-018B;43208;Space Technology Research Institute (part of CASC);;;;
2018-029A;43246;Space Technology Research Institute (part of CASC);;;;
2018-029B;43245;Space Technology Research Institute (part of CASC);;;;
2018-057A;43539;Space Technology Research Institute (part of CASC);;;;
2018-062A;43581;Space Technology Research Institute (part of CASC);;;;
2018-062B;43582;Space Technology Research Institute (part of CASC);;;;
2018-067A;43602;Space Technology Research Institute (part of CASC);;;;
2018-067B;43603;Space Technology Research Institute (part of CASC);;;;
2018-072A;43622;Space Technology Research Institute (part of CASC);;;;
2018-072B;43623;Space Technology Research Institute (part of CASC);;;;
2018-078A;43647;Space Technology Research Institute (part of CASC);;;;
2018-078B;43648;Space Technology Research Institute (part of CASC);;;;
2018-085A;43683;Space Technology Research Institute (part of CASC);;;;
2018-093A;43706;Space Technology Research Institute (part of CASC);;;;
2018-093B;43707;Space Technology Research Institute (part of CASC);;;;
2019-023A;44204;Space Technology Research Institute (part of CASC);;;;
2019-027A;44231;Space Technology Research Institute (part of CASC);;;;
2019-035A;44337;Space Technology Research Institute (part of CASC);;;;
2019-073A;44709;Space Technology Research Institute (part of CASC);;;;
2019-078A;44793;Space Technology Research Institute (part of CASC);;;;
2019-078B;44794;Space Technology Research Institute (part of CASC);;;;
2019-090A;44864;Space Technology Research Institute (part of CASC);;;;
2019-090B;44865;Space Technology Research Institute (part of CASC);;;;
2020-040A;45807;Space Technology Research Institute (part of CASC);;;;
2020-017A;45344;Space Technology Research Institute (part of CASC);;;;
2010-057A;37210;Space Technology Research Institute (part of CASC);;;;
2012-008A;38091;Space Technology Research Institute (part of CASC);;;;
2010-036A;36828;Space Technology Research Institute (part of CASC);;;;
2010-068A;37256;Space Technology Research Institute (part of CASC);;;;
2011-013A;37384;Space Technology Research Institute (part of CASC);;;;
2011-038A;37763;Space Technology Research Institute (part of CASC);;;;
2011-073A;37948;Space Technology Research Institute (part of CASC);;;;
2021-050A;48840;Chinese Academy of Space Technology (CAST);;;;
2005-043A;28890;Tsinghua University;University of Surrey;;;
2023-007K;55257;Changsha Tianyi;;;;
2016-001A;41238;China Academy of Space Technology;Thales Alenia Space;;;
2001-049C;26959;Deutsches Zentrum fÃ¼r Luft- und Raumfahrt;;;;
2023-001G;55015;Norwegian Defence Research Establishment (FFI);Netherlands NLR, TNO);;;
2016-040F;41604;German Aerospace Center (DLR);;;;
2015-058E;40968;Salish Kootenai College;;;;
2012-039B;38708;NPO VNIIEM;;;;
