COSPAR_number;NORAD_number;owner1;owner2;owner3
2019-093E;44883;China National Space Administration (CNSA);National Institute for Space Research (Brazil);
2015-032D;40718;Surrey Satellite Technology Ltd.;;
2018-004E;43115;Earth-i;Surrey Satellite Technology Ltd.;
2017-036E;42769;Canon Electronics ;;
2020-077F;46818;Canon Electronics ;;
2016-067C;41850;Air Force Research Laboratory;;
2018-099BD;43809;Fleet Space Technologies;;
2018-096D;43722;Fleet Space Technologies;;
2018-075A;43636;Beijing Future Navigation Technology Co. Ltd.;;
2018-104E;43853;NASA Goddard Space Flight Center;;
2021-105A;49464;Ministry of Armed Forces;;
2021-105B;49465;Ministry of Armed Forces;;
2021-105C;49466;Ministry of Armed Forces;;
2021-088B;49261;Defense Innovation Unit;Cesium Astro;
2021-088C;49262;Defense Innovation Unit;Cesium Astro;
2018-083A;43662;China National Space Administration (CNSA);National Centre for Space Studies (CNES);
2021-022AA;47956;TELNET Holding;;
1999-040B;25867;National Aeronautics and Space Administration (NASA) Goddard Space Flight Center;;
2018-083H;43669;Spacety Aerospace Company;;
2016-081B;41899;Shanghai Engineering Center for Microsatellites;;
2022-019V;51843;Spacety Co. Ltd.;;
2021-091A;49315;Nanjing University;;
2023-050G;56168;Space Development Agency;;
2023-050H;56167;Space Development Agency;;
2023-050F;56169;Space Development Agency;;
2023-050C;56164;Space Development Agency;;
2023-050B;56163;Space Development Agency;;
2023-050D;56165;Space Development Agency;;
2023-050E;56166;Space Development Agency;;
2023-050A;56162;Space Development Agency;;
2019-092B;44874;European Space Agency (ESA);;
2023-001CK;55090;Epic Aerospace;;
2018-104G;43855;University of Florida;;
2003-049B;28058;Chinese Academy of Sciences;;
2008-056B;33434;Chinese Academy of Sciences;;
2011-068A;37930;Chinese Academy of Sciences;;
2014-051B;40137;Chinese Academy of Sciences;;
2022-102A;53586;Chinese Academy of Sciences;;
2022-102B;53876;Chinese Academy of Sciences;;
2013-037B;39209;Chinese Academy of Sciences;;
2018-088A;43690;GeoOptics Inc.;;
2017-042Z;42848;GeoOptics Inc.;;
2022-057K;52741;GeoOptics, Inc.;;
2022-057D;52735;GeoOptics, Inc.;;
2017-042AA;42849;GeoOptics Inc.;;
2017-036AE;42793;GeoOptics Inc.;;
2018-004AJ;43143;GeoOptics Inc.;;
2018-096U;43737;GeoOptics, Inc.;;
2008-063A;33453;Ciel Satellite Group;;
2012-048G;38764;University of California-Berkeley;Imperial College-London;
2023-054L;56188;Laboratory for Atmospheric and Space Physics, University of Colorado, Boulder;;
2019-071L;45121;Utah State University;;
2014-055A;40208;Unknown US agency;;
2006-016A;29107;National Aeronautics and Space Administration (NASA);Colorado State University;
2020-099A;47256;Indian Space Research Organization (ISRO);;
2021-058D;48875;Department of Defense;Missile Defense Agency;
2021-058E;48874;Department of Defense;Missile Defense Agency;
2017-036N;42777;FH Aachen;;
2010-032A;36744;Korea Aerospace Research Institute (KARI);;
2009-054B;35943;Armed Forces;;
