COSPAR_number;NORAD_number;owner1;owner2;owner3
2020-001AA;44938;Cape Canaveral;;
2020-001AB;44939;Cape Canaveral;;
2020-001B;44915;Cape Canaveral;;
2020-001BC;44964;Cape Canaveral;;
2020-001BE;44966;Cape Canaveral;;
2020-001BF;44967;Cape Canaveral;;
2020-001BG;44968;Cape Canaveral;;
2020-001AC;44940;Cape Canaveral;;
2020-001BH;44969;Cape Canaveral;;
2020-001BJ;44970;Cape Canaveral;;
2020-001AD;44941;Cape Canaveral;;
2020-001AE;44942;Cape Canaveral;;
2020-001D;44917;Cape Canaveral;;
2020-001E;44918;Cape Canaveral;;
2020-001AF;44943;Cape Canaveral;;
2020-001G;44920;Cape Canaveral;;
2020-001H;44921;Cape Canaveral;;
2020-001J;44922;Cape Canaveral;;
2020-001K;44923;Cape Canaveral;;
2020-001BL;44972;Cape Canaveral;;
2020-001AG;44944;Cape Canaveral;;
2020-001AH;44945;Cape Canaveral;;
2020-001AJ;44946;Cape Canaveral;;
2020-001L;44924;Cape Canaveral;;
2020-001M;44925;Cape Canaveral;;
2020-001N;44926;Cape Canaveral;;
2020-001P;44927;Cape Canaveral;;
2020-001BM;44973;Cape Canaveral;;
2020-001AK;44947;Cape Canaveral;;
2020-001AQ;44952;Cape Canaveral;;
2020-001Q;44928;Cape Canaveral;;
2020-006B;45045;Cape Canaveral;;
2020-001R;44929;Cape Canaveral;;
2020-001AM;44949;Cape Canaveral;;
2020-001S;44930;Cape Canaveral;;
2020-001AR;44953;Cape Canaveral;;
2020-001AN;44950;Cape Canaveral;;
2020-001AP;44951;Cape Canaveral;;
2020-001T;44931;Cape Canaveral;;
2020-001U;44932;Cape Canaveral;;
2020-006D;45047;Cape Canaveral;;
2020-006A;45044;Cape Canaveral;;
2020-006W;45064;Cape Canaveral;;
2020-006E;45048;Cape Canaveral;;
2020-006F;45049;Cape Canaveral;;
2020-006AX;45089;Cape Canaveral;;
2020-006BA;45092;Cape Canaveral;;
2020-012A;45178;Cape Canaveral;;
2020-006X;45065;Cape Canaveral;;
2020-006G;45050;Cape Canaveral;;
2020-006H;45051;Cape Canaveral;;
2020-006BB;45093;Cape Canaveral;;
2020-012B;45179;Cape Canaveral;;
2020-001V;44933;Cape Canaveral;;
2020-006Y;45066;Cape Canaveral;;
2020-006BC;45094;Cape Canaveral;;
2020-006BD;45095;Cape Canaveral;;
2020-006J;45052;Cape Canaveral;;
2020-006AM;45079;Cape Canaveral;;
2020-006Z;45067;Cape Canaveral;;
2020-006AP;45081;Cape Canaveral;;
2020-006BE;45096;Cape Canaveral;;
2020-006AN;45080;Cape Canaveral;;
2020-012W;45198;Cape Canaveral;;
2020-006K;45053;Cape Canaveral;;
2020-006L;45054;Cape Canaveral;;
2020-006M;45055;Cape Canaveral;;
2020-006N;45056;Cape Canaveral;;
2020-006P;45057;Cape Canaveral;;
2020-006AQ;45082;Cape Canaveral;;
2020-006AA;45068;Cape Canaveral;;
2020-006Q;45058;Cape Canaveral;;
2020-006R;45059;Cape Canaveral;;
2020-006S;45060;Cape Canaveral;;
2020-006AD;45071;Cape Canaveral;;
2020-006AE;45072;Cape Canaveral;;
2020-006T;45061;Cape Canaveral;;
2020-006AF;45073;Cape Canaveral;;
2020-006U;45062;Cape Canaveral;;
2020-006AG;45074;Cape Canaveral;;
2020-006AS;45084;Cape Canaveral;;
2020-006AH;45075;Cape Canaveral;;
2020-006AY;45090;Cape Canaveral;;
2020-006AL;45078;Cape Canaveral;;
2020-006AT;45085;Cape Canaveral;;
2020-006AJ;45076;Cape Canaveral;;
2020-006AU;45086;Cape Canaveral;;
2020-006AW;45088;Cape Canaveral;;
2020-006BG;45098;Cape Canaveral;;
2020-006AV;45087;Cape Canaveral;;
2020-006BH;45099;Cape Canaveral;;
2020-012AT;45219;Cape Canaveral;;
2020-012AV;45221;Cape Canaveral;;
2020-006AR;45083;Cape Canaveral;;
2020-012AW;45222;Cape Canaveral;;
2020-012C;45180;Cape Canaveral;;
2020-006BJ;45100;Cape Canaveral;;
2020-006BK;45101;Cape Canaveral;;
2020-006BL;45102;Cape Canaveral;;
2020-006BM;45103;Cape Canaveral;;
2020-012X;45199;Cape Canaveral;;
2020-012Z;45201;Cape Canaveral;;
2020-012D;45181;Cape Canaveral;;
2020-012E;45182;Cape Canaveral;;
2020-012F;45183;Cape Canaveral;;
2020-012AA;45202;Cape Canaveral;;
2020-012G;45184;Cape Canaveral;;
2020-012AC;45204;Cape Canaveral;;
2020-019W;45380;Cape Canaveral;;
2020-012AD;45205;Cape Canaveral;;
2020-012AE;45206;Cape Canaveral;;
2020-012AF;45207;Cape Canaveral;;
2020-012AG;45208;Cape Canaveral;;
2020-012AX;45223;Cape Canaveral;;
2020-019AS;45400;Cape Canaveral;;
2020-012AZ;45225;Cape Canaveral;;
2020-012H;45185;Cape Canaveral;;
2020-012BA;45226;Cape Canaveral;;
2020-012AJ;45210;Cape Canaveral;;
2020-012BB;45227;Cape Canaveral;;
2020-012BC;45228;Cape Canaveral;;
2020-012J;45186;Cape Canaveral;;
2020-012K;45187;Cape Canaveral;;
2020-012BD;45229;Cape Canaveral;;
2020-012BE;45230;Cape Canaveral;;
2020-012L;45188;Cape Canaveral;;
2020-012M;45189;Cape Canaveral;;
2020-012AL;45212;Cape Canaveral;;
2020-012AM;45213;Cape Canaveral;;
2020-012AN;45214;Cape Canaveral;;
2020-012N;45190;Cape Canaveral;;
2020-012BG;45232;Cape Canaveral;;
2020-012P;45191;Cape Canaveral;;
2020-012Q;45192;Cape Canaveral;;
2020-012BH;45233;Cape Canaveral;;
2020-012R;45193;Cape Canaveral;;
2020-012S;45194;Cape Canaveral;;
2020-012T;45195;Cape Canaveral;;
2020-012BJ;45234;Cape Canaveral;;
2020-012U;45196;Cape Canaveral;;
2020-012AP;45215;Cape Canaveral;;
2020-012BK;45235;Cape Canaveral;;
2020-012BL;45236;Cape Canaveral;;
2020-019AR;45399;Cape Canaveral;;
2020-019AT;45401;Cape Canaveral;;
2020-019AU;45402;Cape Canaveral;;
2020-019X;45381;Cape Canaveral;;
2020-019AV;45403;Cape Canaveral;;
2020-019AW;45404;Cape Canaveral;;
2020-025AS;45571;Cape Canaveral;;
2020-019G;45366;Cape Canaveral;;
2020-019AX;45405;Cape Canaveral;;
2020-019Y;45382;Cape Canaveral;;
2020-019AY;45406;Cape Canaveral;;
2020-019Z;45383;Cape Canaveral;;
2020-019AA;45384;Cape Canaveral;;
2020-012V;45197;Cape Canaveral;;
2020-012BM;45237;Cape Canaveral;;
2020-012AR;45217;Cape Canaveral;;
2020-019AC;45386;Cape Canaveral;;
2020-019H;45367;Cape Canaveral;;
2020-019AD;45387;Cape Canaveral;;
2020-019AZ;45407;Cape Canaveral;;
2020-019J;45368;Cape Canaveral;;
2020-019K;45369;Cape Canaveral;;
2020-019BA;45408;Cape Canaveral;;
2020-019A;45360;Cape Canaveral;;
2020-019AE;45388;Cape Canaveral;;
2020-019L;45370;Cape Canaveral;;
2020-019BB;45409;Cape Canaveral;;
2020-019AF;45389;Cape Canaveral;;
2020-019AG;45390;Cape Canaveral;;
2020--019BK;45417;Cape Canaveral;;
2020-019M;45371;Cape Canaveral;;
2020-019N;45372;Cape Canaveral;;
2020-019AH;45391;Cape Canaveral;;
2020-019AJ;45392;Cape Canaveral;;
2020--019AK;45393;Cape Canaveral;;
2020-019AL;45394;Cape Canaveral;;
2020-019BD;45411;Cape Canaveral;;
2020-025W;45551;Cape Canaveral;;
2020-019P;45373;Cape Canaveral;;
2020-019BE;45412;Cape Canaveral;;
2020-019AM;45395;Cape Canaveral;;
2020-019BF;45413;Cape Canaveral;;
2020-019BL;45418;Cape Canaveral;;
2020-019Q;45374;Cape Canaveral;;
2020-019B;45361;Cape Canaveral;;
2020-019R;45375;Cape Canaveral;;
2020-019AN;45396;Cape Canaveral;;
2020-019S;45376;Cape Canaveral;;
2020-019T;45377;Cape Canaveral;;
2020-019C;45362;Cape Canaveral;;
2020-019AP;45397;Cape Canaveral;;
2020-019BM;45419;Cape Canaveral;;
2020-019BG;45414;Cape Canaveral;;
2020-019U;45378;Cape Canaveral;;
2020-019AQ;45398;Cape Canaveral;;
2020-019E;45364;Cape Canaveral;;
2020-019BH;45415;Cape Canaveral;;
2020-019F;45365;Cape Canaveral;;
2020-019BJ;45416;Cape Canaveral;;
2020-019V;45379;Cape Canaveral;;
2020-025AT;45572;Cape Canaveral;;
2020-025AU;45573;Cape Canaveral;;
2020-025Y;45553;Cape Canaveral;;
2020-025AV;45574;Cape Canaveral;;
2020-025Z;45554;Cape Canaveral;;
2020-025AW;45575;Cape Canaveral;;
2020-025AA;45555;Cape Canaveral;;
2020-025AX;45576;Cape Canaveral;;
2020-025A;45531;Cape Canaveral;;
2020-025AY;45577;Cape Canaveral;;
2020-025AZ;45578;Cape Canaveral;;
2020-025BA;45579;Cape Canaveral;;
2020-025BB;45580;Cape Canaveral;;
2020-025AB;45556;Cape Canaveral;;
2020-025BC;45581;Cape Canaveral;;
2020-025AC;45557;Cape Canaveral;;
2020-025BD;45582;Cape Canaveral;;
2020-025B;45532;Cape Canaveral;;
2020-025BE;45583;Cape Canaveral;;
2020-025D;45534;Cape Canaveral;;
2020-025AD;45558;Cape Canaveral;;
2020-025BF;45584;Cape Canaveral;;
2020-025AE;45559;Cape Canaveral;;
2020-025AF;45560;Cape Canaveral;;
2020-025BH;45586;Cape Canaveral;;
2020-025AG;45561;Cape Canaveral;;
2020-025BJ;45587;Cape Canaveral;;
2020-025E;45535;Cape Canaveral;;
2020-035AS;45697;Cape Canaveral;;
2020-025F;45536;Cape Canaveral;;
2020-025AH;45562;Cape Canaveral;;
2020-025AJ;45563;Cape Canaveral;;
2020-025AK;45564;Cape Canaveral;;
2020-025AL;45565;Cape Canaveral;;
2020-025AM;45566;Cape Canaveral;;
2020-025BK;45588;Cape Canaveral;;
2020-025AN;45567;Cape Canaveral;;
2020-025H;45538;Cape Canaveral;;
2020-025AP;45568;Cape Canaveral;;
2020-025BL;45589;Cape Canaveral;;
2020-025BM;45590;Cape Canaveral;;
2020-025AQ;45569;Cape Canaveral;;
2020-025K;45540;Cape Canaveral;;
2020-025L;45541;Cape Canaveral;;
2020-035AT;45698;Cape Canaveral;;
2020-025M;45542;Cape Canaveral;;
2020-025N;45543;Cape Canaveral;;
2020-025P;45544;Cape Canaveral;;
2020-025Q;45545;Cape Canaveral;;
2020-025R;45546;Cape Canaveral;;
2020-025AR;45570;Cape Canaveral;;
2020-025S;45547;Cape Canaveral;;
2020-025T;45548;Cape Canaveral;;
2020-025V;45550;Cape Canaveral;;
2020-038W;45750;Cape Canaveral;;
2020-035W;45677;Cape Canaveral;;
2020-035X;45678;Cape Canaveral;;
2020-035Y;45679;Cape Canaveral;;
2020-035Z;45680;Cape Canaveral;;
2020-035AA;45681;Cape Canaveral;;
2020-035AB;45682;Cape Canaveral;;
2020-035AU;45699;Cape Canaveral;;
2020-035AC;45683;Cape Canaveral;;
2020-035AV;45700;Cape Canaveral;;
2020-035AD;45684;Cape Canaveral;;
2020-035AE;45685;Cape Canaveral;;
2020-035AW;45701;Cape Canaveral;;
2020-035AF;45686;Cape Canaveral;;
2020-035AX;45702;Cape Canaveral;;
2020-035AY;45703;Cape Canaveral;;
2020-035AH;45688;Cape Canaveral;;
2020-035AZ;45704;Cape Canaveral;;
2020-035BA;45705;Cape Canaveral;;
2020-035BB;45706;Cape Canaveral;;
2020-035BC;45707;Cape Canaveral;;
2020-035AJ;45689;Cape Canaveral;;
2020-035AK;45690;Cape Canaveral;;
2020-035AL;45691;Cape Canaveral;;
2020-035AM;45692;Cape Canaveral;;
2020-035AN;45693;Cape Canaveral;;
2020-035BD;45708;Cape Canaveral;;
2020-035AP;45694;Cape Canaveral;;
2020-035AQ;45695;Cape Canaveral;;
2020-035BE;45709;Cape Canaveral;;
2020-035AR;45696;Cape Canaveral;;
2020-035BF;45710;Cape Canaveral;;
2020-035BG;45711;Cape Canaveral;;
2020-035BH;45712;Cape Canaveral;;
2020-035BJ;45713;Cape Canaveral;;
2020-035BK;45714;Cape Canaveral;;
2020-035BL;45715;Cape Canaveral;;
2020-035B;45658;Cape Canaveral;;
2020-035C;45659;Cape Canaveral;;
2020-035D;45660;Cape Canaveral;;
2020-035E;45661;Cape Canaveral;;
2020-035F;45662;Cape Canaveral;;
2020-035G;45663;Cape Canaveral;;
2020-035J;45665;Cape Canaveral;;
2020-035K;45666;Cape Canaveral;;
2020-035L;45667;Cape Canaveral;;
2020-035M;45668;Cape Canaveral;;
2020-035N;45669;Cape Canaveral;;
2020-035P;45670;Cape Canaveral;;
2020-035Q;45671;Cape Canaveral;;
2020-035R;45672;Cape Canaveral;;
2020-035S;45673;Cape Canaveral;;
2020-035T;45674;Cape Canaveral;;
2020-035U;45675;Cape Canaveral;;
2020-038AR;45769;Cape Canaveral;;
2020-035V;45676;Cape Canaveral;;
2020-038A;45730;Cape Canaveral;;
2020-038AS;45770;Cape Canaveral;;
2020-038AT;45771;Cape Canaveral;;
2020-038X;45751;Cape Canaveral;;
2020-038B;45731;Cape Canaveral;;
2020-038C;45732;Cape Canaveral;;
2020-038D;45733;Cape Canaveral;;
2020-038E;45734;Cape Canaveral;;
2020-038AU;45772;Cape Canaveral;;
2020-038F;45735;Cape Canaveral;;
2020-038G;45736;Cape Canaveral;;
2020-038J;45738;Cape Canaveral;;
2020-038K;45739;Cape Canaveral;;
2020-038Z;45753;Cape Canaveral;;
2020-038AA;45754;Cape Canaveral;;
2020-038AB;45755;Cape Canaveral;;
2020-038L;45740;Cape Canaveral;;
2020-038M;45741;Cape Canaveral;;
2020-038N;45742;Cape Canaveral;;
2020-038AV;45773;Cape Canaveral;;
2020-038P;45743;Cape Canaveral;;
2020-038AC;45756;Cape Canaveral;;
2020-038AW;45774;Cape Canaveral;;
2020-038AD;45757;Cape Canaveral;;
2020-038AE;45758;Cape Canaveral;;
2020-038AX;45775;Cape Canaveral;;
2020-038AY;45776;Cape Canaveral;;
2020-038AZ;45777;Cape Canaveral;;
2020-038BA;45778;Cape Canaveral;;
2020-038BB;45779;Cape Canaveral;;
2020-038AF;45759;Cape Canaveral;;
2020-038AG;45760;Cape Canaveral;;
2020-038BC;45780;Cape Canaveral;;
2020-038BD;45781;Cape Canaveral;;
2020-038BE;45782;Cape Canaveral;;
2020-038AJ;45762;Cape Canaveral;;
2020-038Q;45744;Cape Canaveral;;
2020-038AL;45764;Cape Canaveral;;
2020-038R;45745;Cape Canaveral;;
2020-038S;45746;Cape Canaveral;;
2020-038BF;45783;Cape Canaveral;;
2020-038T;45747;Cape Canaveral;;
2020-038U;45748;Cape Canaveral;;
2020-038AN;45766;Cape Canaveral;;
2020-038BG;45784;Cape Canaveral;;
2020-038AP;45767;Cape Canaveral;;
2020-038BH;45785;Cape Canaveral;;
2020-038BJ;45786;Cape Canaveral;;
2020-055AQ;46065;Cape Canaveral;;
2020-038BK;45787;Cape Canaveral;;
2020-038AQ;45768;Cape Canaveral;;
2020-055A;46027;Cape Canaveral;;
2020-055B;46028;Cape Canaveral;;
2020-055W;46047;Cape Canaveral;;
2020-055AR;46066;Cape Canaveral;;
2020-055C;46029;Cape Canaveral;;
2020-055X;46048;Cape Canaveral;;
2021-012A;47620;Cape Canaveral;;
2020-055AS;46067;Cape Canaveral;;
2020-055Y;46049;Cape Canaveral;;
2020-070AS;46572;Cape Canaveral;;
2020-055AT;46068;Cape Canaveral;;
2020-055AU;46069;Cape Canaveral;;
2020-055D;46030;Cape Canaveral;;
2020-055AV;46070;Cape Canaveral;;
2020-055AW;46071;Cape Canaveral;;
2020-055AX;46072;Cape Canaveral;;
2020-055AA;46051;Cape Canaveral;;
2020-055AB;46052;Cape Canaveral;;
2020-055AY;46073;Cape Canaveral;;
2020-055AC;46053;Cape Canaveral;;
2020-055E;46031;Cape Canaveral;;
2020-057AR;46156;Cape Canaveral;;
2020-062X;46346;Cape Canaveral;;
2020-062Y;46347;Cape Canaveral;;
2020-055AD;46054;Cape Canaveral;;
2020-055AZ;46074;Cape Canaveral;;
2020-062AS;46365;Cape Canaveral;;
2020-055BA;46075;Cape Canaveral;;
2020-055BB;46076;Cape Canaveral;;
2020-062Z;46348;Cape Canaveral;;
2020-055AE;46055;Cape Canaveral;;
2020-055F;46032;Cape Canaveral;;
2020-055G;46033;Cape Canaveral;;
2020-055H;46034;Cape Canaveral;;
2020-055J;46035;Cape Canaveral;;
2020-055BC;46077;Cape Canaveral;;
2020-055K;46036;Cape Canaveral;;
2020-055AF;46056;Cape Canaveral;;
2020-055AG;46057;Cape Canaveral;;
2020-055BD;46078;Cape Canaveral;;
2020-055AH;46058;Cape Canaveral;;
2020-055L;46037;Cape Canaveral;;
2020-055BE;46079;Cape Canaveral;;
2020-055M;46038;Cape Canaveral;;
2020-055BF;46080;Cape Canaveral;;
2020-055N;46039;Cape Canaveral;;
2020-055AJ;46059;Cape Canaveral;;
2020-055BG;46081;Cape Canaveral;;
2020-055AK;46060;Cape Canaveral;;
2020-055AL;46061;Cape Canaveral;;
2020-055AM;46062;Cape Canaveral;;
2020-062AA;46349;Cape Canaveral;;
2020-055P;46040;Cape Canaveral;;
2020-055AN;46063;Cape Canaveral;;
2020-055BH;46082;Cape Canaveral;;
2020-055BJ;46083;Cape Canaveral;;
2020-055Q;46041;Cape Canaveral;;
2020-055R;46042;Cape Canaveral;;
2020-055S;46043;Cape Canaveral;;
2020-055AP;46064;Cape Canaveral;;
2020-055T;46044;Cape Canaveral;;
2020-057A;46117;Cape Canaveral;;
2020-057W;46137;Cape Canaveral;;
2020-057AS;46157;Cape Canaveral;;
2020-057B;46118;Cape Canaveral;;
2020-057AT;46158;Cape Canaveral;;
2020-057X;46138;Cape Canaveral;;
2020-055U;46045;Cape Canaveral;;
2020-057C;46119;Cape Canaveral;;
2020-057Z;46140;Cape Canaveral;;
2020-057AU;46159;Cape Canaveral;;
2020-057AA;46141;Cape Canaveral;;
2020-057AB;46142;Cape Canaveral;;
2020-057AV;46160;Cape Canaveral;;
2020-057AW;46161;Cape Canaveral;;
2020-057D;46120;Cape Canaveral;;
2020-057E;46121;Cape Canaveral;;
2020-057AX;46162;Cape Canaveral;;
2020-057F;46122;Cape Canaveral;;
2020-057G;46123;Cape Canaveral;;
2020-057AD;46144;Cape Canaveral;;
2020-057AE;46145;Cape Canaveral;;
2020-057AF;46146;Cape Canaveral;;
2021-012B;47621;Cape Canaveral;;
2020-057AY;46163;Cape Canaveral;;
2020-057AG;46147;Cape Canaveral;;
2020-057AZ;46164;Cape Canaveral;;
2020-057BA;46165;Cape Canaveral;;
2020-057H;46124;Cape Canaveral;;
2020-057BB;46166;Cape Canaveral;;
2020-057AH;46148;Cape Canaveral;;
2020-062AB;46350;Cape Canaveral;;
2020-057J;46125;Cape Canaveral;;
2020-057K;46126;Cape Canaveral;;
2020-057AJ;46149;Cape Canaveral;;
2020-057L;46127;Cape Canaveral;;
2020-057M;46128;Cape Canaveral;;
2020-057N;46129;Cape Canaveral;;
2020-057P;46130;Cape Canaveral;;
2020-057Q;46131;Cape Canaveral;;
2020-057BC;46167;Cape Canaveral;;
2020-057BD;46168;Cape Canaveral;;
2020-057BE;46169;Cape Canaveral;;
2020-057AK;46150;Cape Canaveral;;
2020-057R;46132;Cape Canaveral;;
2020-057AL;46151;Cape Canaveral;;
2020-057BG;46171;Cape Canaveral;;
2020-057AM;46152;Cape Canaveral;;
2020-057BH;46172;Cape Canaveral;;
2020-057AN;46153;Cape Canaveral;;
2020-057S;46133;Cape Canaveral;;
2020-057T;46134;Cape Canaveral;;
2020-057U;46135;Cape Canaveral;;
2020-057BJ;46173;Cape Canaveral;;
2020-057BK;46174;Cape Canaveral;;
2020-057AP;46154;Cape Canaveral;;
2020-057V;46136;Cape Canaveral;;
2020-070A;46532;Cape Canaveral;;
2021-012C;47622;Cape Canaveral;;
2020-062AC;46351;Cape Canaveral;;
2021-024B;47978;Cape Canaveral;;
2020-070B;46533;Cape Canaveral;;
2020-070AT;46573;Cape Canaveral;;
2020-062AT;46366;Cape Canaveral;;
2020-062AD;46352;Cape Canaveral;;
2020-062B;46326;Cape Canaveral;;
2021-012D;47623;Cape Canaveral;;
2020-062AE;46353;Cape Canaveral;;
2020-062AF;46354;Cape Canaveral;;
2020-062AV;46368;Cape Canaveral;;
2020-070C;46534;Cape Canaveral;;
2020-070AU;46574;Cape Canaveral;;
2020-062AG;46355;Cape Canaveral;;
2020-070D;46535;Cape Canaveral;;
2020-070X;46553;Cape Canaveral;;
2020-062AH;46356;Cape Canaveral;;
2020-062AJ;46357;Cape Canaveral;;
2020-057AQ;46155;Cape Canaveral;;
2021-012E;47624;Cape Canaveral;;
2020-062AX;46370;Cape Canaveral;;
2020-070Y;46554;Cape Canaveral;;
2020-070F;46537;Cape Canaveral;;
2020-062C;46327;Cape Canaveral;;
2020-070AV;46575;Cape Canaveral;;
2020-070AA;46556;Cape Canaveral;;
2020-070AW;46576;Cape Canaveral;;
2020-070G;46538;Cape Canaveral;;
2020-070AB;46557;Cape Canaveral;;
2020-070AC;46558;Cape Canaveral;;
2020-070AD;46559;Cape Canaveral;;
2020-070AX;46577;Cape Canaveral;;
2020-070AY;46578;Cape Canaveral;;
2020-062D;46328;Cape Canaveral;;
2020-070K;46541;Cape Canaveral;;
2020-062AY;46371;Cape Canaveral;;
2020-062AZ;46372;Cape Canaveral;;
2020-062AK;46358;Cape Canaveral;;
2020-070L;46542;Cape Canaveral;;
2020-070M;46543;Cape Canaveral;;
2020-070N;46544;Cape Canaveral;;
2020-062E;46329;Cape Canaveral;;
2020-070P;46545;Cape Canaveral;;
2020-070Q;46546;Cape Canaveral;;
2020-070R;46547;Cape Canaveral;;
2020-070S;46548;Cape Canaveral;;
2020-070T;46549;Cape Canaveral;;
2020-070U;46550;Cape Canaveral;;
2021-012F;47625;Cape Canaveral;;
2020-070AZ;46579;Cape Canaveral;;
2020-070AE;46560;Cape Canaveral;;
2020-062AL;46359;Cape Canaveral;;
2020-070BA;46580;Cape Canaveral;;
2020-070AF;46561;Cape Canaveral;;
2020-062F;46330;Cape Canaveral;;
2020-062BB;46374;Cape Canaveral;;
2020-070BB;46581;Cape Canaveral;;
2020-062AM;46360;Cape Canaveral;;
2020-070AG;46562;Cape Canaveral;;
2020-073B;46671;Cape Canaveral;;
2020-073C;46672;Cape Canaveral;;
2020-073D;46673;Cape Canaveral;;
2020-073E;46674;Cape Canaveral;;
2020-062G;46331;Cape Canaveral;;
2020-073F;46675;Cape Canaveral;;
2020-062H;46332;Cape Canaveral;;
2020-062AN;46361;Cape Canaveral;;
2020-062J;46333;Cape Canaveral;;
2020-062BC;46375;Cape Canaveral;;
2020-062K;46334;Cape Canaveral;;
2020-062AP;46362;Cape Canaveral;;
2020-062L;46335;Cape Canaveral;;
2020-070BC;46582;Cape Canaveral;;
2020-070BD;46583;Cape Canaveral;;
2020-070AH;46563;Cape Canaveral;;
2020-070BE;46584;Cape Canaveral;;
2020-070AJ;46564;Cape Canaveral;;
2020-062A;46325;Cape Canaveral;;
2020-070AK;46565;Cape Canaveral;;
2020-070BF;46585;Cape Canaveral;;
2020-070BG;46586;Cape Canaveral;;
2020-062M;46336;Cape Canaveral;;
2020-062AQ;46363;Cape Canaveral;;
2020-070AL;46566;Cape Canaveral;;
2020-070AM;46567;Cape Canaveral;;
2020-062BD;46376;Cape Canaveral;;
2020-070BJ;46588;Cape Canaveral;;
2020-070AP;46569;Cape Canaveral;;
2020-070AQ;46570;Cape Canaveral;;
2020-070BK;46589;Cape Canaveral;;
2020-062N;46337;Cape Canaveral;;
2020-062P;46338;Cape Canaveral;;
2020-070BM;46591;Cape Canaveral;;
2020-062BH;46380;Cape Canaveral;;
2020-062R;46340;Cape Canaveral;;
2020-062S;46341;Cape Canaveral;;
2021-012G;47626;Cape Canaveral;;
2020-062T;46342;Cape Canaveral;;
2020-062AR;46364;Cape Canaveral;;
2020-062U;46343;Cape Canaveral;;
2020-062V;46344;Cape Canaveral;;
2020-073H;46677;Cape Canaveral;;
2020-062W;46345;Cape Canaveral;;
2020-062BK;46382;Cape Canaveral;;
2020-062BL;46383;Cape Canaveral;;
2020-062BM;46384;Cape Canaveral;;
2020-073K;46679;Cape Canaveral;;
2020-073L;46680;Cape Canaveral;;
2020-073M;46681;Cape Canaveral;;
2020-073N;46682;Cape Canaveral;;
2020-088A;47122;Cape Canaveral;;
2020-073Q;46684;Cape Canaveral;;
2020-073R;46685;Cape Canaveral;;
2021-009A;47548;Cape Canaveral;;
2020-073S;46686;Cape Canaveral;;
2020-073T;46687;Cape Canaveral;;
2020-088C;47124;Cape Canaveral;;
2020-073V;46689;Cape Canaveral;;
2020-073W;46690;Cape Canaveral;;
2020-073X;46691;Cape Canaveral;;
2020-073Y;46692;Cape Canaveral;;
2020-073Z;46693;Cape Canaveral;;
2020-073AA;46694;Cape Canaveral;;
2020-073AB;46695;Cape Canaveral;;
2020-073AC;46696;Cape Canaveral;;
2020-073AE;46698;Cape Canaveral;;
2020-074AS;46779;Cape Canaveral;;
2020-073AF;46699;Cape Canaveral;;
2020-073AG;46700;Cape Canaveral;;
2020-073AH;46701;Cape Canaveral;;
2020-073AJ;46702;Cape Canaveral;;
2020-073AK;46703;Cape Canaveral;;
2020-073AL;46704;Cape Canaveral;;
2020-073AM;46705;Cape Canaveral;;
2021-009B;47549;Cape Canaveral;;
2020-073AN;46706;Cape Canaveral;;
2020-073AP;46707;Cape Canaveral;;
2020-073AR;46709;Cape Canaveral;;
2020-073AS;46710;Cape Canaveral;;
2020-088E;47126;Cape Canaveral;;
2020-073AT;46711;Cape Canaveral;;
2020-073AU;46712;Cape Canaveral;;
2020-073AV;46713;Cape Canaveral;;
2020-073AW;46714;Cape Canaveral;;
2020-073AX;46715;Cape Canaveral;;
2020-073AY;46716;Cape Canaveral;;
2020-073AZ ;46717;Cape Canaveral;;
2020-073BA;46718;Cape Canaveral;;
2020-073BB;46719;Cape Canaveral;;
2020-073BE;46722;Cape Canaveral;;
2020-073BF;46723;Cape Canaveral;;
2020-073BH;46725;Cape Canaveral;;
2020-073BJ;46726;Cape Canaveral;;
2020-073BK;46727;Cape Canaveral;;
2020-074AT;46780;Cape Canaveral;;
2020-074W;46759;Cape Canaveral;;
2020-074AU;46781;Cape Canaveral;;
2020-074AV;46782;Cape Canaveral;;
2020-088G;47128;Cape Canaveral;;
2020-088H;47129;Cape Canaveral;;
2020-088J;47130;Cape Canaveral;;
2020-088L;47132;Cape Canaveral;;
2020-088M;47133;Cape Canaveral;;
2020-088N;47134;Cape Canaveral;;
2020-088P;47135;Cape Canaveral;;
2020-088Q;47136;Cape Canaveral;;
2020-074B;46740;Cape Canaveral;;
2020-088R;47137;Cape Canaveral;;
2020-088S;47138;Cape Canaveral;;
2020-074AW;46783;Cape Canaveral;;
2020-088T;47139;Cape Canaveral;;
2020-088V;47141;Cape Canaveral;;
2020-088X;47143;Cape Canaveral;;
2020-088Y;47144;Cape Canaveral;;
2020-088AB;47147;Cape Canaveral;;
2020-088AC;47148;Cape Canaveral;;
2020-088AD;47149;Cape Canaveral;;
2020-088AE;47150;Cape Canaveral;;
2020-088AF;47151;Cape Canaveral;;
2020-074C;46741;Cape Canaveral;;
2020-088AG;47152;Cape Canaveral;;
2020-088AH;47153;Cape Canaveral;;
2020-088AJ;47154;Cape Canaveral;;
2020-088AK;47155;Cape Canaveral;;
2020-088AM;47157;Cape Canaveral;;
2020-088AN;47158;Cape Canaveral;;
2020-088AR;47161;Cape Canaveral;;
2020-088AS;47162;Cape Canaveral;;
2020-088AT;47163;Cape Canaveral;;
2020-088AU;47164;Cape Canaveral;;
2020-088AV;47165;Cape Canaveral;;
2020-074AX;46784;Cape Canaveral;;
