COSPAR_number;NORAD_number;country1;country2;country3;country4;country5
2020-073L;46680;USA;;;;
2020-073M;46681;USA;;;;
2020-073N;46682;USA;;;;
2020-088A;47122;USA;;;;
2020-073Q;46684;USA;;;;
2020-073R;46685;USA;;;;
2021-009A;47548;USA;;;;
2020-073S;46686;USA;;;;
2020-073T;46687;USA;;;;
2020-088C;47124;USA;;;;
2020-073V;46689;USA;;;;
2020-073W;46690;USA;;;;
2020-073X;46691;USA;;;;
2020-073Y;46692;USA;;;;
2020-073Z;46693;USA;;;;
2020-073AA;46694;USA;;;;
2020-073AB;46695;USA;;;;
2020-073AC;46696;USA;;;;
2020-073AE;46698;USA;;;;
2020-074AS;46779;USA;;;;
2020-073AF;46699;USA;;;;
2020-073AG;46700;USA;;;;
2020-073AH;46701;USA;;;;
2020-073AJ;46702;USA;;;;
2020-073AK;46703;USA;;;;
2020-073AL;46704;USA;;;;
2020-073AM;46705;USA;;;;
2021-009B;47549;USA;;;;
2020-073AN;46706;USA;;;;
2020-073AP;46707;USA;;;;
2020-073AR;46709;USA;;;;
2020-073AS;46710;USA;;;;
2020-088E;47126;USA;;;;
2020-073AT;46711;USA;;;;
2020-073AU;46712;USA;;;;
2020-073AV;46713;USA;;;;
2020-073AW;46714;USA;;;;
2020-073AX;46715;USA;;;;
2020-073AY;46716;USA;;;;
2020-073AZ ;46717;USA;;;;
2020-073BA;46718;USA;;;;
2020-073BB;46719;USA;;;;
2020-073BE;46722;USA;;;;
2020-073BF;46723;USA;;;;
2020-073BH;46725;USA;;;;
2020-073BJ;46726;USA;;;;
2020-073BK;46727;USA;;;;
2020-074AT;46780;USA;;;;
2020-074W;46759;USA;;;;
2020-074AU;46781;USA;;;;
2020-074AV;46782;USA;;;;
2020-088G;47128;USA;;;;
2020-088H;47129;USA;;;;
2020-088J;47130;USA;;;;
2020-088L;47132;USA;;;;
2020-088M;47133;USA;;;;
2020-088N;47134;USA;;;;
2020-088P;47135;USA;;;;
2020-088Q;47136;USA;;;;
2020-074B;46740;USA;;;;
2020-088R;47137;USA;;;;
2020-088S;47138;USA;;;;
2020-074AW;46783;USA;;;;
2020-088T;47139;USA;;;;
2020-088V;47141;USA;;;;
2020-088X;47143;USA;;;;
2020-088Y;47144;USA;;;;
2020-088AB;47147;USA;;;;
2020-088AC;47148;USA;;;;
2020-088AD;47149;USA;;;;
2020-088AE;47150;USA;;;;
2020-088AF;47151;USA;;;;
2020-074C;46741;USA;;;;
2020-088AG;47152;USA;;;;
2020-088AH;47153;USA;;;;
2020-088AJ;47154;USA;;;;
2020-088AK;47155;USA;;;;
2020-088AM;47157;USA;;;;
2020-088AN;47158;USA;;;;
2020-088AR;47161;USA;;;;
2020-088AS;47162;USA;;;;
2020-088AT;47163;USA;;;;
2020-088AU;47164;USA;;;;
2020-088AV;47165;USA;;;;
2020-074AX;46784;USA;;;;
2020-074AY;46785;USA;;;;
2020-088AX;47167;USA;;;;
2020-088BA;47170;USA;;;;
2020-088BB;47171;USA;;;;
2020-088BD;47173;USA;;;;
2020-088BE;47174;USA;;;;
2020-074E;46743;USA;;;;
2020-074AZ;46786;USA;;;;
2020-074F;46744;USA;;;;
2020-088BF;47175;USA;;;;
2020-074X;46760;USA;;;;
2020-074BA;46787;USA;;;;
2020-074AB;46764;USA;;;;
2021-038AN;48389;USA;;;;
2020-074H;46746;USA;;;;
2020-074AC;46765;USA;;;;
2020-088BH;47177;USA;;;;
2020-074J;46747;USA;;;;
2021-009C;47550;USA;;;;
2020-074K;46748;USA;;;;
2020-074L;46749;USA;;;;
2020-088BJ;47178;USA;;;;
2020-088BK;47179;USA;;;;
2020-074AD;46766;USA;;;;
2020-074AE;46767;USA;;;;
2020-074AF;46768;USA;;;;
2020-074N;46751;USA;;;;
2020-074P;46752;USA;;;;
2020-074Q;46753;USA;;;;
2020-074R;46754;USA;;;;
2020-074S;46755;USA;;;;
2020-074T;46756;USA;;;;
2020-074U;46757;USA;;;;
2020-088BM;47181;USA;;;;
2020-074V;46758;USA;;;;
2020-074BB;46788;USA;;;;
2020-074BC;46789;USA;;;;
2020-074BD;46790;USA;;;;
2020-074AH;46770;USA;;;;
2020-074BE;46791;USA;;;;
2020-074BF;46792;USA;;;;
2020-074AK;46772;USA;;;;
2021-009D;47551;USA;;;;
2021-009E;47552;USA;;;;
2020-074BG;46793;USA;;;;
2020-074BH;46794;USA;;;;
2020-074BJ;46795;USA;;;;
2020-074BK;46796;USA;;;;
2020-074BM;46798;USA;;;;
2021-009G;47554;USA;;;;
2021-009H;47555;USA;;;;
2021-009J;47556;USA;;;;
2021-009K;47557;USA;;;;
2021-009L;47558;USA;;;;
2021-009M;47559;USA;;;;
2021-009N;47560;USA;;;;
2021-009P;47561;USA;;;;
2021-009Q;47562;USA;;;;
2021-009R;47563;USA;;;;
2021-009S;47564;USA;;;;
2021-009T;47565;USA;;;;
2021-009U;47566;USA;;;;
2021-009V;47567;USA;;;;
2021-009W;47568;USA;;;;
2021-009Y;47570;USA;;;;
2021-009Z;47571;USA;;;;
2021-009AA;47572;USA;;;;
2021-012H;47627;USA;;;;
2021-012J;47628;USA;;;;
2021-012K;47629;USA;;;;
2021-009AB;47573;USA;;;;
2021-009AC;47574;USA;;;;
2021-009AD;47575;USA;;;;
2021-009AE;47576;USA;;;;
2021-009AF;47577;USA;;;;
2021-009AG;47578;USA;;;;
2021-009AH;47579;USA;;;;
2021-009AJ;47580;USA;;;;
2021-012L;47630;USA;;;;
2021-009AK;47581;USA;;;;
2021-009AL;47582;USA;;;;
2021-009AM;47583;USA;;;;
2021-009AP;47585;USA;;;;
2021-009AQ;47586;USA;;;;
2021-009AR;47587;USA;;;;
2021-012N;47632;USA;;;;
2021-009AS;47588;USA;;;;
2021-009AT;47589;USA;;;;
2021-009AU;47590;USA;;;;
2021-009AV;47591;USA;;;;
2021-009AW;47592;USA;;;;
2021-009AX;47593;USA;;;;
2021-009AY;47594;USA;;;;
2021-009AZ;47595;USA;;;;
2021-009BA;47596;USA;;;;
2021-009BB;47597;USA;;;;
2021-009BC;47598;USA;;;;
2021-009BD;47599;USA;;;;
2021-009BE;47600;USA;;;;
2021-009BF;47601;USA;;;;
2021-009BG;47602;USA;;;;
2021-009BH;47603;USA;;;;
2021-012P;47633;USA;;;;
2021-012Q;47634;USA;;;;
2021-005B;47350;USA;;;;
2021-012R;47635;USA;;;;
2021-012S;47636;USA;;;;
2021-012T;47637;USA;;;;
2021-012U;47638;USA;;;;
2021-012V;47639;USA;;;;
2021-005C;47351;USA;;;;
2021-012W;47640;USA;;;;
2021-012X;47641;USA;;;;
2021-012Y;47642;USA;;;;
2021-009BJ;47604;USA;;;;
2021-012Z;47643;USA;;;;
2021-009BL;47606;USA;;;;
2021-009BM;47607;USA;;;;
2021-012AA;47644;USA;;;;
2021-012AB;47645;USA;;;;
2021-012AC;47646;USA;;;;
2021-036AW;48320;USA;;;;
2021-012AD;47647;USA;;;;
2021-012AE;47648;USA;;;;
2021-012AF;47649;USA;;;;
2021-012AG;47650;USA;;;;
2021-005D;47352;USA;;;;
2021-012AH;47651;USA;;;;
2021-012AJ;47652;USA;;;;
2021-012AK;47653;USA;;;;
2021-012AL;47654;USA;;;;
2021-012AM;47655;USA;;;;
2021-012AN;47656;USA;;;;
2021-012AP;47657;USA;;;;
2021-012AQ;47658;USA;;;;
2021-012AR;47659;USA;;;;
2021-012AS;47660;USA;;;;
2021-005E;47353;USA;;;;
2021-005F;47354;USA;;;;
2021-005G;47355;USA;;;;
2021-027A;48092;USA;;;;
2021-005H;47356;USA;;;;
2021-005J;47357;USA;;;;
2021-012AT;47661;USA;;;;
2021-012AU;47662;USA;;;;
2021-012AV;47663;USA;;;;
2021-012AW;47664;USA;;;;
2021-005K;47358;USA;;;;
2021-012AX;47665;USA;;;;
2021-012AY;47666;USA;;;;
2021-012AZ;47667;USA;;;;
2021-012BA;47668;USA;;;;
2021-012BB;47669;USA;;;;
2021-036AN;48312;USA;;;;
2021-012BC;47670;USA;;;;
2021-041A;48553;USA;;;;
2021-012BD;47671;USA;;;;
2021-012BE;47672;USA;;;;
2021-012BF;47673;USA;;;;
2021-012BG;47674;USA;;;;
2021-017A;47722;USA;;;;
2021-005L;47359;USA;;;;
2021-005M;47360;USA;;;;
2021-005N;47361;USA;;;;
2021-005P;47362;USA;;;;
2021-005Q;47363;USA;;;;
2021-012BH;47675;USA;;;;
2021-005T;47366;USA;;;;
2021-005U;47367;USA;;;;
2021-012BJ;47676;USA;;;;
2021-005V;47368;USA;;;;
2021-005W;47369;USA;;;;
2021-005X;47370;USA;;;;
2021-024A;47977;USA;;;;
2021-005Y;47371;USA;;;;
2021-005Z;47372;USA;;;;
2021-012BK;47677;USA;;;;
2021-005AA ;47373;USA;;;;
2021-005AB;47374;USA;;;;
2021-005AC;47375;USA;;;;
2021-012BM;47679;USA;;;;
2021-005AD;47376;USA;;;;
2021-005AE;47377;USA;;;;
2021-005AF;47378;USA;;;;
2021-005AG;47379;USA;;;;
2021-005AH;47380;USA;;;;
2021-005AJ;47381;USA;;;;
2021-005AK;47382;USA;;;;
2021-005AL;47383;USA;;;;
2021-005AM;47384;USA;;;;
2021-005AN;47385;USA;;;;
2021-005AP;47386;USA;;;;
2021-017B;47723;USA;;;;
2021-005AQ;47387;USA;;;;
2021-005AR;47388;USA;;;;
2021-005AS;47389;USA;;;;
2021-005AT;47390;USA;;;;
2021-005AU;47391;USA;;;;
2021-005AV;47392;USA;;;;
2021-005AW;47393;USA;;;;
2021-005AX;47394;USA;;;;
2021-017C;47724;USA;;;;
2021-005AY;47395;USA;;;;
2021-005AZ;47396;USA;;;;
2021-005BA;47397;USA;;;;
2021-005BB;47398;USA;;;;
2021-005BC;47399;USA;;;;
2021-005BD;47400;USA;;;;
2021-005BE;47401;USA;;;;
2021-005BF;47402;USA;;;;
2021-017D;47725;USA;;;;
2021-017E;47726;USA;;;;
2021-005BG;47403;USA;;;;
2021-005BH;47404;USA;;;;
2021-017F;47727;USA;;;;
2021-005BJ;47405;USA;;;;
2021-017G;47728;USA;;;;
2021-017H;47729;USA;;;;
2021-005BK;47406;USA;;;;
2021-005BL;47407;USA;;;;
2021-005BM;47408;USA;;;;
2021-041B;48554;USA;;;;
2021-017J;47730;USA;;;;
2021-017K;47731;USA;;;;
2021-017L;47732;USA;;;;
2021-017M;47733;USA;;;;
2021-017N;47734;USA;;;;
2021-041C;48555;USA;;;;
2021-017P;47735;USA;;;;
2021-017Q;37736;USA;;;;
2021-017R;47737;USA;;;;
2021-017S;47738;USA;;;;
2021-017T;47739;USA;;;;
2021-041D;48556;USA;;;;
2021-017U;47740;USA;;;;
2021-024AJ;48009;USA;;;;
2021-017V;47741;USA;;;;
2021-041E;48557;USA;;;;
2021-017W;47742;USA;;;;
2021-017X;47743;USA;;;;
2021-017Y;47744;USA;;;;
2021-017Z;47745;USA;;;;
2021-017AA;47746;USA;;;;
2021-017AB;47747;USA;;;;
2021-017AC;47748;USA;;;;
2021-017AD;47749;USA;;;;
2021-017AE;47750;USA;;;;
2021-041F;48558;USA;;;;
2021-041G;48559;USA;;;;
2021-017AF;47751;USA;;;;
2021-017AG;47752;USA;;;;
2021-017AH;47753;USA;;;;
2021-017AJ;47754;USA;;;;
2021-017AL;47756;USA;;;;
2021-017AM;47757;USA;;;;
2021-017AQ;47760;USA;;;;
2021-017AR;47761;USA;;;;
2021-017AS;47762;USA;;;;
2021-017AT;47763;USA;;;;
2021-017AU;47764;USA;;;;
2021-017AW;47766;USA;;;;
2021-017AX;47767;USA;;;;
2021-041J;48561;USA;;;;
2021-041K;48562;USA;;;;
2021-041L;48563;USA;;;;
2021-017AY;47768;USA;;;;
2021-041M;48564;USA;;;;
2021-041N;48565;USA;;;;
2021-017AZ;47769;USA;;;;
2021-017BA;47770;USA;;;;
2021-017BB;47771;USA;;;;
2021-017BC;47772;USA;;;;
2021-017BD;47773;USA;;;;
2021-017BE;47774;USA;;;;
2021-017BF;47775;USA;;;;
2021-017BG;47776;USA;;;;
2021-017BH;47777;USA;;;;
2021-017BJ;47778;USA;;;;
2021-017BK;47779;USA;;;;
2021-041BB;48602;USA;;;;
2021-017BL;47780;USA;;;;
2021-041P;48566;USA;;;;
2021-041Q;48567;USA;;;;
2021-041R;48568;USA;;;;
2021-024Y;47999;USA;;;;
2021-041S;48569;USA;;;;
2021-041T;48570;USA;;;;
2021-041U;48571;USA;;;;
2021-041V;48572;USA;;;;
2021-017BM;47781;USA;;;;
2021-041W;48573;USA;;;;
2021-041X;48574;USA;;;;
2021-024AK;48010;USA;;;;
2021-041Y;48575;USA;;;;
2021-041Z;48576;USA;;;;
2021-024R;47992;USA;;;;
2021-041AA;48577;USA;;;;
2021-041AB;48578;USA;;;;
2021-041AC;48579;USA;;;;
2021-041AD;48580;USA;;;;
2021-041AE;48581;USA;;;;
2021-041AF;48582;USA;;;;
2021-041AG;48583;USA;;;;
2021-041AH;48584;USA;;;;
2021-041AJ;48585;USA;;;;
2021-041AK;48586;USA;;;;
2021-041AL;48587;USA;;;;
2021-024AN;48013;USA;;;;
2021-041AM;48588;USA;;;;
2021-041AN;48589;USA;;;;
2021-040U;48446;USA;;;;
2021-041AQ;48591;USA;;;;
2021-041AR;48592;USA;;;;
2021-041AS;48593;USA;;;;
2021-041AT;48594;USA;;;;
2021-041AU;48595;USA;;;;
2021-041AV;48596;USA;;;;
2021-024AE;48005;USA;;;;
2021-041AW;48597;USA;;;;
2021-041AX;48598;USA;;;;
2021-018A;47787;USA;;;;
2021-021A;47860;USA;;;;
2021-024V;47996;USA;;;;
2021-024AA;48001;USA;;;;
2021-024AC;48003;USA;;;;
2021-024BD;48028;USA;;;;
2021-024AB;48002;USA;;;;
2021-024W;47997;USA;;;;
2021-024BG;48031;USA;;;;
2021-024BF;48030;USA;;;;
2021-040V;48447;USA;;;;
2021-024Z;48000;USA;;;;
2021-024AH;48008;USA;;;;
2021-024AL;48011;USA;;;;
2021-024S;47993;USA;;;;
2021-041AY;48599;USA;;;;
2021-041AZ;48600;USA;;;;
2021-024BB;48026;USA;;;;
2021-024Q;47991;USA;;;;
2021-021B;47861;USA;;;;
2021-024AT;48018;USA;;;;
2021-024AP;48014;USA;;;;
2021-024AR;48016;USA;;;;
2021-024AU;48019;USA;;;;
2021-024BJ;48033;USA;;;;
2021-024BK;48034;USA;;;;
2021-024T;47994;USA;;;;
2021-021C;47862;USA;;;;
2021-024AY;48023;USA;;;;
2021-021D;47863;USA;;;;
2021-024AV;48020;USA;;;;
2021-024BM;48036;USA;;;;
2021-024X;47998;USA;;;;
2021-024AX;48022;USA;;;;
2021-024BE;48029;USA;;;;
2021-024BC;48027;USA;;;;
2021-024AW;48021;USA;;;;
2021-024E;47981;USA;;;;
2021-021E;47864;USA;;;;
2021-024N;47989;USA;;;;
2021-024P;47990;USA;;;;
2021-024J;47985;USA;;;;
2021-024U;47995;USA;;;;
2021-021F;47865;USA;;;;
2021-024D;47980;USA;;;;
2021-018B;47788;USA;;;;
2021-018C;47789;USA;;;;
2021-024F;47982;USA;;;;
2021-018D;47790;USA;;;;
2021-021G;47866;USA;;;;
2021-021H;47867;USA;;;;
2021-018E;47791;USA;;;;
2021-021J;47868;USA;;;;
2021-021K;47869;USA;;;;
2021-024C;47979;USA;;;;
2021-021L;47870;USA;;;;
2021-021M;47871;USA;;;;
2021-021P;47873;USA;;;;
2021-021Q;47874;USA;;;;
2021-021R;47875;USA;;;;
2021-021S;47876;USA;;;;
2021-021T;47877;USA;;;;
2021-018F;47792;USA;;;;
2021-021U;47878;USA;;;;
2021-021V;47879;USA;;;;
2021-021W;47880;USA;;;;
2021-018G;47793;USA;;;;
2021-021X;47881;USA;;;;
2021-021Y;47882;USA;;;;
2021-018H;47794;USA;;;;
2021-021Z;47883;USA;;;;
2021-021AA;47884;USA;;;;
2021-021AB;47885;USA;;;;
2021-021AC;47886;USA;;;;
2021-021AD;47887;USA;;;;
2021-018J;47795;USA;;;;
2021-021AE;47888;USA;;;;
2021-021AF;47889;USA;;;;
2021-021AH;47891;USA;;;;
2021-021AJ;47892;USA;;;;
2021-021AK;47893;USA;;;;
2021-021AL;47894;USA;;;;
2021-021AM;47895;USA;;;;
2021-021AN;47896;USA;;;;
2021-021AP;47897;USA;;;;
2021-021AQ;47898;USA;;;;
2021-021AR;47899;USA;;;;
2021-021AS;47900;USA;;;;
2021-021AT;47901;USA;;;;
2021-021AU;47902;USA;;;;
2021-021AV;47903;USA;;;;
2021-021AW;47904;USA;;;;
2021-021AX;47905;USA;;;;
2021-021AY;47906;USA;;;;
2021-021AZ;47907;USA;;;;
2021-021BA;47908;USA;;;;
2021-021BB;47909;USA;;;;
2021-021BC;47910;USA;;;;
2021-021BD;47911;USA;;;;
2021-021BE;47912;USA;;;;
2021-018K;47796;USA;;;;
2021-021BF;47913;USA;;;;
2021-021BG;47914;USA;;;;
2021-021BH;47915;USA;;;;
2021-018L;47797;USA;;;;
2021-021BJ;47916;USA;;;;
2021-018M;47798;USA;;;;
2021-018N;47799;USA;;;;
2021-018P;47800;USA;;;;
2021-018Q;47801;USA;;;;
2021-018R;47802;USA;;;;
2021-018S;47803;USA;;;;
2021-018T;47804;USA;;;;
2021-018U;47805;USA;;;;
2021-018V;47806;USA;;;;
2021-018W;47807;USA;;;;
2021-018X;47808;USA;;;;
2021-018Y;47809;USA;;;;
2021-018Z;47810;USA;;;;
2021-018AA;47811;USA;;;;
2021-018AB;47812;USA;;;;
2021-018AC;47813;USA;;;;
2021-018AD;47814;USA;;;;
2021-018AE;47815;USA;;;;
2021-021BK;47917;USA;;;;
2021-021BL;47918;USA;;;;
2021-018AF;47816;USA;;;;
2019-029D;44238;USA;;;;
2021-018AG;47817;USA;;;;
2021-018AH;47818;USA;;;;
2021-018AJ;47819;USA;;;;
2021-018AK;47820;USA;;;;
2021-027B;48093;USA;;;;
2021-021BM;47919;USA;;;;
2021-018AL;47821;USA;;;;
2021-018AM;47822;USA;;;;
2021-018AN;47823;USA;;;;
2021-018AP;47824;USA;;;;
2021-018AQ;47825;USA;;;;
2021-018AR;47826;USA;;;;
2021-027C;48094;USA;;;;
2021-018AS;47827;USA;;;;
2021-027D;48095;USA;;;;
2021-018AT;47828;USA;;;;
2021-018AU;47829;USA;;;;
2021-027E;48096;USA;;;;
2021-027F;48097;USA;;;;
2021-018AV;47830;USA;;;;
2021-018AW;47831;USA;;;;
2021-027G;48098;USA;;;;
2021-018AX;47832;USA;;;;
2021-018AY;47833;USA;;;;
2021-018AZ;47834;USA;;;;
2021-018BA;47835;USA;;;;
2021-018BB;47836;USA;;;;
2021-018BC;47837;USA;;;;
2021-027H;48099;USA;;;;
2021-018BD;47838;USA;;;;
2021-027J;48100;USA;;;;
2021-018BE;47839;USA;;;;
2021-018BF;47840;USA;;;;
2021-018BG;47841;USA;;;;
2021-018BH;47842;USA;;;;
2021-018BJ;47843;USA;;;;
2021-027K;48101;USA;;;;
2021-027L;48102;USA;;;;
2021-027M;48103;USA;;;;
2021-027N;48104;USA;;;;
2021-027P;48105;USA;;;;
2021-036BM;48335;USA;;;;
2021-027Q;48106;USA;;;;
2021-027R;48107;USA;;;;
2021-027S;48108;USA;;;;
2021-027T;48109;USA;;;;
2021-018BK;47844;USA;;;;
2021-027U;48110;USA;;;;
2021-027V;48111;USA;;;;
2021-027W;48112;USA;;;;
2021-027X;48113;USA;;;;
2021-027Y;48114;USA;;;;
2021-027Z;48115;USA;;;;
2021-018BL;47845;USA;;;;
2021-027AA;48116;USA;;;;
2021-027AB;48117;USA;;;;
2021-018BM;47846;USA;;;;
2021-036AX;48321;USA;;;;
2021-027AC;48118;USA;;;;
2021-027AD;48119;USA;;;;
2021-027AE;48120;USA;;;;
2021-040A;48428;USA;;;;
2021-027AF;48121;USA;;;;
2021-027AG;48122;USA;;;;
2021-027AH;48123;USA;;;;
2021-027AJ;48124;USA;;;;
2021-027AK;48125;USA;;;;
2021-027AL;48126;USA;;;;
2021-027AM;48127;USA;;;;
2021-027AN;48128;USA;;;;
2021-036BL;48334;USA;;;;
2021-027AP;48129;USA;;;;
2021-027AQ;48130;USA;;;;
2021-027AR;48131;USA;;;;
2021-027AS;48132;USA;;;;
2021-027AT;48133;USA;;;;
2021-027AU;48134;USA;;;;
2021-036AY;48322;USA;;;;
2021-027AV;48135;USA;;;;
2021-027AW;48136;USA;;;;
2021-027AX;48137;USA;;;;
2021-027AY;48138;USA;;;;
2021-027AZ;48139;USA;;;;
2021-027BA;48140;USA;;;;
2021-027BB;48141;USA;;;;
2021-027BC;48142;USA;;;;
2021-027BD;48143;USA;;;;
2021-027BE;48144;USA;;;;
2021-027BF;48145;USA;;;;
2021-027BG;48146;USA;;;;
2021-027BH;48147;USA;;;;
2021-027BJ;48148;USA;;;;
2021-027BK;48149;USA;;;;
2021-027BL;48150;USA;;;;
2021-040BM;48487;USA;;;;
2021-036BB;48325;USA;;;;
2021-040BL;48486;USA;;;;
2021-040AD;48455;USA;;;;
2021-036BC;48326;USA;;;;
2021-038AA;48377;USA;;;;
2021-040BK;48485;USA;;;;
2021-036BG;48330;USA;;;;
2021-036BD;48327;USA;;;;
2021-027BM;48151;USA;;;;
2021-036BE;48328;USA;;;;
2021-038BL;48411;USA;;;;
2021-036AR;48315;USA;;;;
2021-036AS;48316;USA;;;;
2021-040AE;48456;USA;;;;
2021-036AU;48318;USA;;;;
2021-036BF;48329;USA;;;;
2021-036BJ;48332;USA;;;;
2021-036AV;48319;USA;;;;
2021-036AT;48317;USA;;;;
2021-036BH;48331;USA;;;;
2021-036AZ;48323;USA;;;;
2021-036H;48283;USA;;;;
2021-036AK;48309;USA;;;;
2021-036BK;48333;USA;;;;
2021-036AF;48305;USA;;;;
2021-036F;48281;USA;;;;
2021-044L;48648;USA;;;;
2021-036AG;48306;USA;;;;
2021-036AE;48304;USA;;;;
2021-040BG;48482;USA;;;;
2021-038AB;48378;USA;;;;
2021-036BA;48324;USA;;;;
2021-036AH;48307;USA;;;;
2021-040AF;48457;USA;;;;
2021-036AD;48303;USA;;;;
2021-040BH;48483;USA;;;;
2021-036AJ;48308;USA;;;;
2021-036U;48294;USA;;;;
2021-036AM;48311;USA;;;;
2021-036V;48295;USA;;;;
2021-036AL;48310;USA;;;;
2021-036AB;48301;USA;;;;
2021-036AA;48300;USA;;;;
2021-036Q;48290;USA;;;;
2021-036AP;48313;USA;;;;
2021-036S;48292;USA;;;;
2021-036C;48278;USA;;;;
2021-036X;48297;USA;;;;
2021-036P;48289;USA;;;;
2021-036W;48296;USA;;;;
2021-036L;48286;USA;;;;
2021-036K;48285;USA;;;;
2021-036AQ;48314;USA;;;;
2021-036T;48293;USA;;;;
2021-036R;48291;USA;;;;
2021-036AC;48302;USA;;;;
2021-036Z;48299;USA;;;;
2021-036G;48282;USA;;;;
2021-036Y;48298;USA;;;;
2021-038BB;48402;USA;;;;
2021-038BC;48403;USA;;;;
2021-036N;48288;USA;;;;
2021-038BK;48410;USA;;;;
2021-036J;48284;USA;;;;
2021-036E;48280;USA;;;;
2021-036M;48287;USA;;;;
2021-036A;48276;USA;;;;
2021-038BF;48406;USA;;;;
2021-036B;48277;USA;;;;
2021-038BE;48405;USA;;;;
2021-038BA;48401;USA;;;;
2021-038V;48372;USA;;;;
2021-038AT;48394;USA;;;;
2021-038AU;48395;USA;;;;
2021-038AV;48396;USA;;;;
2021-038AZ;48400;USA;;;;
2021-038K;48362;USA;;;;
2021-040AH;48459;USA;;;;
2021-036D;48279;USA;;;;
2021-038BM;48412;USA;;;;
2021-040AJ;48460;USA;;;;
2021-040M;48439;USA;;;;
2021-038AF;48382;USA;;;;
2021-038AP;48390;USA;;;;
2021-038AY;48399;USA;;;;
2021-038AX;48398;USA;;;;
2021-038U;48371;USA;;;;
2021-038AW;48397;USA;;;;
2021-038J;48361;USA;;;;
2021-038BH;48408;USA;;;;
2021-038BD;48404;USA;;;;
2021-038AM;48388;USA;;;;
2021-038BG;48407;USA;;;;
2021-038BJ;48409;USA;;;;
2021-038AJ;48385;USA;;;;
2021-038AG;48383;USA;;;;
2021-038AL;48387;USA;;;;
2021-040Y;48450;USA;;;;
2021-038AH;48384;USA;;;;
2021-038AS;48393;USA;;;;
2021-038Y;48375;USA;;;;
2021-038X;48374;USA;;;;
2021-038AR;48392;USA;;;;
2021-038AK;48386;USA;;;;
2021-038AQ;48391;USA;;;;
2021-038N;48365;USA;;;;
2021-038W;48373;USA;;;;
2021-038Z;48376;USA;;;;
2021-038M;48364;USA;;;;
2021-038AC;48379;USA;;;;
2021-038A;48353;USA;;;;
2021-038AD;48380;USA;;;;
2021-044AS;48678;USA;;;;
2021-044BK;48695;USA;;;;
2021-044BD;48689;USA;;;;
2021-044BH;48693;USA;;;;
2021-040AZ;48475;USA;;;;
2021-040AB;48453;USA;;;;
2021-038T;48370;USA;;;;
2021-038H;48360;USA;;;;
2021-038R;48368;USA;;;;
2021-038F;48358;USA;;;;
2021-038L;48363;USA;;;;
2021-044BB;48687;USA;;;;
2021-038G;48359;USA;;;;
2021-044BA;48686;USA;;;;
2021-038AE;48381;USA;;;;
2021-038P;48366;USA;;;;
2021-040W;48448;USA;;;;
2021-040H;48435;USA;;;;
2021-040R;48443;USA;;;;
2021-040T;48445;USA;;;;
2021-038C;48355;USA;;;;
2021-038E;48357;USA;;;;
2021-038D;48356;USA;;;;
2021-040J;48436;USA;;;;
2021-040L;48438;USA;;;;
2021-038S;48369;USA;;;;
2021-040K;48437;USA;;;;
2021-038Q;48367;USA;;;;
2021-040Q;48442;USA;;;;
2021-040S;48444;USA;;;;
2021-044E;48642;USA;;;;
2021-044W;48658;USA;;;;
2021-044AT;48679;USA;;;;
2021-044AU;48680;USA;;;;
2021-044S;48654;USA;;;;
2021-040Z;48451;USA;;;;
2021-044AD;48665;USA;;;;
2021-040AC;48454;USA;;;;
2021-040X;48449;USA;;;;
2021-044T;48655;USA;;;;
2021-040AX;48473;USA;;;;
2021-040AR;48467;USA;;;;
2021-040AT;48469;USA;;;;
2021-044AE;48666;USA;;;;
2021-044AB;48663;USA;;;;
2021-044N;48650;USA;;;;
2021-044M;48649;USA;;;;
2021-038B;48354;USA;;;;
2021-040AU;48470;USA;;;;
2021-040E;48432;USA;;;;
2021-040AP;48465;USA;;;;
2021-040N;48440;USA;;;;
2021-040AL;48462;USA;;;;
2021-040AV;48471;USA;;;;
2021-040AS;48468;USA;;;;
2021-040AN;48464;USA;;;;
2021-040AQ;48466;USA;;;;
2021-044Y;48660;USA;;;;
2021-040AM;48463;USA;;;;
2021-040BE;48480;USA;;;;
2021-044K;48647;USA;;;;
2021-040G;48434;USA;;;;
2021-040AK;48461;USA;;;;
2021-044G;48644;USA;;;;
2021-040BJ;48484;USA;;;;
2021-040AY;48474;USA;;;;
2021-040AG;48458;USA;;;;
2021-040F;48433;USA;;;;
2021-040D;48431;USA;;;;
2021-044U;48656;USA;;;;
2021-040P;48441;USA;;;;
2021-040AA;48452;USA;;;;
2021-044F;48643;USA;;;;
2021-044AL;48672;USA;;;;
2021-040BF;48481;USA;;;;
2021-044AH;48669;USA;;;;
2021-044Z;48661;USA;;;;
2021-044AC;48664;USA;;;;
2021-044AM;48673;USA;;;;
2021-044AN;48674;USA;;;;
2021-041BC;48603;USA;;;;
2021-044BM;48697;USA;;;;
2021-044X;48659;USA;;;;
2021-044AR;48677;USA;;;;
2021-044R;48653;USA;;;;
2021-040AW;48472;USA;;;;
2021-040BA;48476;USA;;;;
2021-044AV;48681;USA;;;;
2021-044AA;48662;USA;;;;
2021-044Q;48652;USA;;;;
2021-040BC;48478;USA;;;;
2021-040C;48430;USA;;;;
2021-044P;48651;USA;;;;
2021-044J;48646;USA;;;;
2021-044H;48645;USA;;;;
